ENSEMBL ID	name
ENSG00000000419	DPM1
ENSG00000001036	FUCA2
ENSG00000001497	LAS1L
ENSG00000001630	CYP51A1
ENSG00000002549	LAP3
ENSG00000002586	CD99
ENSG00000002822	MAD1L1
ENSG00000002834	LASP1
ENSG00000003056	M6PR
ENSG00000003509	C2orf56
ENSG00000003989	SLC7A2
ENSG00000004059	ARF5
ENSG00000004455	AK2
ENSG00000004478	FKBP4
ENSG00000004487	KDM1A
ENSG00000004534	RBM6
ENSG00000004700	RECQL
ENSG00000004766	CCDC132
ENSG00000004779	NDUFAB1
ENSG00000004864	SLC25A13
ENSG00000004897	CDC27
ENSG00000004961	HCCS
ENSG00000005007	UPF1
ENSG00000005022	SLC25A5
ENSG00000005100	DHX33
ENSG00000005108	THSD7A
ENSG00000005156	LIG3
ENSG00000005175	RPAP3
ENSG00000005194	CIAPIN1
ENSG00000005206	AC004410.1
ENSG00000005436	C2orf3
ENSG00000005486	RHBDD2
ENSG00000005810	MYCBP2
ENSG00000005884	ITGA3
ENSG00000005893	LAMP2
ENSG00000006007	GDE1
ENSG00000006118	TMEM132A
ENSG00000006125	AP2B1
ENSG00000006451	RALA
ENSG00000006453	AC093799.1
ENSG00000006530	AGK
ENSG00000006611	USH1C
ENSG00000006625	GGCT
ENSG00000006712	PAF1
ENSG00000006715	VPS41
ENSG00000006744	ELAC2
ENSG00000006757	PNPLA4
ENSG00000007038	PRSS21
ENSG00000007080	CCDC124
ENSG00000007168	PAFAH1B1
ENSG00000007392	LUC7L
ENSG00000007520	C16orf42
ENSG00000007923	DNAJC11
ENSG00000008018	PSMB1
ENSG00000008128	CDK11A
ENSG00000008282	SYPL1
ENSG00000008283	CYB561
ENSG00000008294	SPAG9
ENSG00000008394	MGST1
ENSG00000008838	MED24
ENSG00000008869	HEATR5B
ENSG00000008952	SEC62
ENSG00000008988	RPS20
ENSG00000009307	CSDE1
ENSG00000009335	UBE3C
ENSG00000009844	VTA1
ENSG00000009950	MLXIPL
ENSG00000009954	BAZ1B
ENSG00000010017	RANBP9
ENSG00000010030	ETV7
ENSG00000010165	METTL13
ENSG00000010256	UQCRC1
ENSG00000010278	CD9
ENSG00000010292	NCAPD2
ENSG00000010704	HFE
ENSG00000010810	FYN
ENSG00000011007	TCEB3
ENSG00000011198	ABHD5
ENSG00000011243	AKAP8L
ENSG00000011260	UTP18
ENSG00000011295	TTC19
ENSG00000011304	PTBP1
ENSG00000011376	LARS2
ENSG00000011405	PIK3C2A
ENSG00000011422	PLAUR
ENSG00000011426	ANLN
